"Table 2. Marijuana Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
27,Massachusetts,"1,088",975,"1,210",70,58,85,345,311,381,672,576,781,"1,017",907,"1,137"
28,Michigan,"1,317","1,220","1,419",112,99,127,384,356,412,821,734,918,"1,205","1,110","1,306"
29,Minnesota,592,522,671,55,46,65,184,163,206,354,295,423,538,469,614
30,Mississippi,231,200,267,24,19,29,78,67,89,130,104,161,207,177,243
31,Missouri,668,592,752,59,49,71,211,189,235,398,333,473,609,536,691
32,Montana,160,144,178,13,11,15,42,38,47,105,91,122,147,131,165
33,Nebraska,176,153,202,17,14,21,64,56,72,95,77,117,159,136,184
34,Nevada,319,277,366,33,27,40,84,74,96,202,166,244,286,246,332
35,New Hampshire,202,181,226,14,12,16,58,52,64,130,112,152,188,167,212
36,New Jersey,907,810,"1,015",75,63,89,315,286,347,517,436,611,832,738,937
37,New Mexico,272,240,308,25,21,30,73,64,83,173,145,206,247,215,282
38,New York,"2,491","2,326","2,666",175,155,197,812,760,866,"1,503","1,357","1,664","2,316","2,153","2,488"
39,North Carolina,996,895,"1,107",85,72,100,321,290,354,589,503,688,910,812,"1,019"
40,North Dakota,61,52,70,6,5,8,25,22,29,29,23,37,54,46,63
41,Ohio,"1,344","1,235","1,462",109,96,125,403,373,434,832,736,940,"1,235","1,128","1,351"
42,Oklahoma,357,309,410,35,29,42,114,98,131,208,170,254,322,276,374
43,Oregon,783,713,857,51,43,60,184,168,200,548,485,618,732,664,805
44,Pennsylvania,"1,415","1,300","1,539",101,88,116,436,403,471,877,776,990,"1,314","1,200","1,436"
45,Rhode Island,184,165,204,13,11,15,54,49,60,117,101,136,171,152,192
46,South Carolina,448,390,513,41,34,50,152,133,172,255,208,311,407,351,470
47,South Dakota,83,72,95,8,7,10,25,21,28,50,41,61,75,64,87
48,Tennessee,709,621,808,60,50,73,207,183,233,442,368,530,649,564,745
49,Texas,"2,264","2,091","2,447",251,220,286,784,722,849,"1,229","1,082","1,394","2,013","1,846","2,192"
50,Utah,229,198,264,28,23,35,84,72,98,116,94,144,201,171,234
51,Vermont,118,106,131,7,6,8,36,32,40,76,65,87,112,100,125
52,Virginia,768,688,856,66,55,78,274,247,301,429,361,508,702,624,789
53,Washington,"1,140","1,018","1,277",72,60,86,284,254,316,784,673,909,"1,068",947,"1,203"
54,West Virginia,179,155,206,16,13,19,52,46,59,111,91,135,163,140,189
55,Wisconsin,592,520,673,62,51,74,191,169,213,339,279,411,530,460,609
56,Wyoming,51,44,59,6,5,7,17,14,19,29,23,36,46,39,53
