"Table 17. Cigarette Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2015 and 2016 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
13,Delaware,152,136,169,2,2,3,23,20,26,127,112,143,150,134,167
14,District of Columbia,106,95,118,1,0,1,20,17,24,85,75,96,105,95,117
15,Florida,"2,892","2,690","3,108",41,33,51,401,364,441,"2,450","2,253","2,660","2,851","2,650","3,066"
16,Georgia,"1,659","1,518","1,809",32,25,41,280,248,313,"1,347","1,216","1,489","1,627","1,487","1,775"
17,Hawaii,172,152,194,3,2,4,31,27,36,138,119,159,169,149,191
18,Idaho,234,208,261,7,5,9,43,37,50,184,161,210,227,202,255
19,Illinois,"2,009","1,869","2,157",40,32,49,363,330,398,"1,606","1,474","1,747","1,969","1,830","2,117"
20,Indiana,"1,254","1,141","1,375",30,24,38,210,186,237,"1,013",907,"1,128","1,224","1,111","1,344"
21,Iowa,560,509,615,11,9,14,107,94,120,443,395,494,549,499,603
22,Kansas,446,401,495,9,7,12,78,67,90,359,318,404,437,392,485
23,Kentucky,"1,039",956,"1,127",22,18,28,168,150,187,849,771,931,"1,017",934,"1,104"
24,Louisiana,988,905,"1,077",21,16,26,150,132,169,818,740,900,968,885,"1,055"
25,Maine,230,207,255,6,5,7,36,31,40,189,167,213,224,201,250
26,Maryland,893,805,988,16,12,20,149,129,171,729,647,818,877,790,972
27,Massachusetts,975,871,"1,088",15,11,19,188,162,217,772,678,877,960,858,"1,072"
28,Michigan,"1,855","1,742","1,974",36,29,43,298,272,325,"1,522","1,413","1,636","1,820","1,706","1,938"
29,Minnesota,853,768,946,18,14,23,146,126,167,690,611,776,836,751,927
30,Mississippi,590,538,645,12,10,16,93,82,106,484,435,536,577,526,632
31,Missouri,"1,164","1,060","1,274",28,22,36,200,177,224,936,839,"1,040","1,135","1,033","1,244"
32,Montana,182,165,201,5,4,7,31,27,35,146,130,164,177,160,196
33,Nebraska,329,298,363,6,5,8,56,49,64,267,238,299,323,292,357
34,Nevada,480,430,534,8,6,10,66,57,77,406,359,457,472,423,526
35,New Hampshire,220,197,246,5,4,6,39,34,45,176,155,200,216,192,241
36,New Jersey,"1,194","1,082","1,316",20,16,26,224,197,252,950,845,"1,066","1,174","1,063","1,295"
37,New Mexico,349,313,387,5,4,7,64,56,73,279,246,316,344,308,382
38,New York,"3,031","2,841","3,232",44,36,55,488,445,535,"2,498","2,319","2,689","2,987","2,797","3,186"
39,North Carolina,"1,783","1,640","1,935",29,23,37,299,268,333,"1,455","1,319","1,600","1,754","1,612","1,905"
40,North Dakota,135,123,149,3,2,4,27,24,31,105,94,117,132,120,145
41,Ohio,"2,316","2,176","2,462",45,37,54,378,347,411,"1,893","1,761","2,032","2,271","2,132","2,416"
42,Oklahoma,786,716,860,15,12,19,123,108,140,647,582,717,771,701,844
43,Oregon,628,566,695,13,10,16,114,100,130,501,444,563,615,554,681
44,Pennsylvania,"2,328","2,175","2,490",36,30,44,377,345,412,"1,915","1,768","2,070","2,292","2,140","2,452"
45,Rhode Island,174,155,194,3,2,4,32,28,37,139,122,158,171,152,191
46,South Carolina,927,840,"1,020",18,14,23,155,136,176,753,672,842,909,822,"1,001"
47,South Dakota,164,150,180,5,4,6,29,26,33,130,117,145,160,145,175
48,Tennessee,"1,371","1,249","1,500",26,20,33,205,181,231,"1,140","1,025","1,262","1,345","1,224","1,473"
49,Texas,"4,152","3,901","4,414",70,56,86,736,676,799,"3,347","3,111","3,595","4,083","3,833","4,343"
50,Utah,319,280,363,8,6,12,72,60,86,239,205,277,311,272,354
51,Vermont,121,109,134,3,2,3,27,23,30,92,81,104,119,107,131
52,Virginia,"1,355","1,246","1,473",24,19,30,237,212,264,"1,094",993,"1,204","1,332","1,223","1,448"
53,Washington,957,850,"1,076",19,15,25,172,149,198,766,667,876,938,832,"1,055"
54,West Virginia,465,426,506,10,8,13,66,59,73,389,352,428,455,416,495
55,Wisconsin,997,896,"1,105",19,15,25,152,133,174,825,732,927,978,878,"1,085"
56,Wyoming,105,95,115,3,2,3,18,16,21,84,75,94,102,92,112
